time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.0,2.19299316,,,
0.0002,2.19268799,,,
0.0004,2.19268799,,,
0.0006,2.19268799,,,
0.0008,2.19299316,,,
0.001,2.19299316,,,
0.0012,2.19299316,,,
0.0014,2.19268799,,,
0.0016,2.19299316,,,
0.0018,2.19299316,,,
0.002,2.19299316,,,
0.0022,2.19299316,,,
0.0024,2.19299316,,,
0.0026,2.19299316,,,
0.0028,2.19299316,,,
0.003,2.19268799,,,
0.0032,2.19268799,,,
0.0034,2.19268799,,,
0.0036,2.19268799,,,
0.0038,2.19299316,,,
0.004,2.19299316,,,
0.0042,2.19299316,,,
0.0044,2.19299316,,,
0.0046,2.19299316,,,
0.0048,2.19268799,,,
0.005,2.19268799,,,
0.0052,2.19299316,,,
0.0054,2.19268799,,,
0.0056,2.19299316,,,
0.0058,2.19299316,,,
0.006,2.19268799,,,
0.0062,2.19268799,,,
0.0064,2.19299316,,,
0.0066,2.19299316,,,
0.0068,2.19299316,,,
0.007,2.19268799,,,
0.0072,2.19268799,,,
0.0074,2.19299316,,,
0.0076,2.19299316,,,
0.0078,2.19268799,,,
0.008,2.19299316,,,
0.0082,2.19299316,,,
0.0084,2.19299316,,,
0.0086,2.19268799,,,
0.0088,2.19299316,,,
0.009,2.19268799,,,
0.0092,2.19299316,,,
0.0094,2.19268799,,,
0.0096,2.19299316,,,
0.0098,2.19299316,,,
0.01,2.19299316,,,
0.0102,2.19268799,,,
0.0104,2.19299316,,,
0.0106,2.19299316,,,
0.0108,2.19268799,,,
0.011,2.19299316,,,
0.0112,2.19299316,,,
0.0114,2.19299316,,,
0.0116,2.19299316,,,
0.0118,2.19299316,,,
0.012,2.19299316,,,
0.0122,2.19268799,,,
0.0124,2.19299316,,,
0.0126,2.19299316,,,
0.0128,2.19299316,,,
0.013,2.19299316,,,
0.0132,2.19268799,,,
0.0134,2.19299316,,,
0.0136,2.19299316,,,
0.0138,2.19299316,,,
0.014,2.19268799,,,
0.0142,2.19299316,,,
0.0144,2.19299316,,,
0.0146,2.19299316,,,
0.0148,2.19268799,,,
0.015,2.19299316,,,
0.0152,2.19299316,,,
0.0154,2.19299316,,,
0.0156,2.19299316,,,
0.0158,2.19299316,,,
0.016,2.19268799,,,
0.0162,2.19268799,,,
0.0164,2.19299316,,,
0.0166,2.19299316,,,
0.0168,2.19299316,,,
0.017,2.19299316,,,
0.0172,2.19299316,,,
0.0174,2.19299316,,,
0.0176,2.19268799,,,
0.0178,2.19299316,,,
0.018,2.19299316,,,
0.0182,2.19299316,,,
0.0184,2.19299316,,,
0.0186,2.19299316,,,
0.0188,2.19299316,,,
0.019,2.19299316,,,
0.0192,2.19268799,,,
0.0194,2.19299316,,,
0.0196,2.19299316,,,
0.0198,2.19299316,,,
0.02,2.19268799,,,
0.0202,2.19299316,,,
0.0204,2.19268799,,,
0.0206,2.19268799,,,
0.0208,2.19299316,,,
0.021,2.19268799,,,
0.0212,2.19268799,,,
0.0214,2.19268799,,,
0.0216,2.19299316,,,
0.0218,2.19268799,,,
0.022,2.19268799,,,
0.0222,2.19299316,,,
0.0224,2.19299316,,,
0.0226,2.19268799,,,
0.0228,2.19299316,,,
0.023,2.19268799,,,
0.0232,2.19268799,,,
0.0234,2.19268799,,,
0.0236,2.19299316,,,
0.0238,2.19268799,,,
0.024,2.19299316,,,
0.0242,2.19299316,,,
0.0244,2.19299316,,,
0.0246,2.19299316,,,
0.0248,2.19299316,,,
0.025,2.19299316,,,
0.0252,2.19268799,,,
0.0254,2.19299316,,,
0.0256,2.19268799,,,
0.0258,2.19299316,,,
0.026,2.19299316,,,
0.0262,2.19268799,,,
0.0264,2.19299316,,,
0.0266,2.19299316,,,
0.0268,2.19268799,,,
0.027,2.19299316,,,
0.0272,2.19268799,,,
0.0274,2.19268799,,,
0.0276,2.19299316,,,
0.0278,2.19299316,,,
0.028,2.19299316,,,
0.0282,2.19299316,,,
0.0284,2.19299316,,,
0.0286,2.19329834,,,
0.0288,2.19299316,,,
0.029,2.19268799,,,
0.0292,2.19299316,,,
0.0294,2.19299316,,,
0.0296,2.19299316,,,
0.0298,2.19299316,,,
0.03,2.19268799,,,
0.0302,2.19299316,,,
0.0304,2.19299316,,,
0.0306,2.19299316,,,
0.0308,2.19268799,,,
0.031,2.19299316,,,
0.0312,2.19299316,,,
0.0314,2.19299316,,,
0.0316,2.19299316,,,
0.0318,2.19268799,,,
0.032,2.19268799,,,
0.0322,2.19299316,,,
0.0324,2.19299316,,,
0.0326,2.19299316,,,
0.0328,2.19268799,,,
0.033,2.19299316,,,
0.0332,2.19299316,,,
0.0334,2.19299316,,,
0.0336,2.19299316,,,
0.0338,2.19268799,,,
0.034,2.19299316,,,
0.0342,2.19299316,,,
0.0344,2.19268799,,,
0.0346,2.19299316,,,
0.0348,2.19268799,,,
0.035,2.19299316,,,
0.0352,2.19299316,,,
0.0354,2.19299316,,,
0.0356,2.19299316,,,
0.0358,2.19268799,,,
0.036,2.19299316,,,
0.0362,2.19299316,,,
0.0364,2.19268799,,,
0.0366,2.19268799,,,
0.0368,2.19299316,,,
0.037,2.19299316,,,
0.0372,2.19268799,,,
0.0374,2.19299316,,,
0.0376,2.19329834,,,
0.0378,2.19268799,,,
0.038,2.19299316,,,
0.0382,2.19299316,,,
0.0384,2.19299316,,,
0.0386,2.19299316,,,
0.0388,2.19299316,,,
0.039,2.19299316,,,
0.0392,2.19299316,,,
0.0394,2.19299316,,,
0.0396,2.19299316,,,
0.0398,2.19299316,,,
0.04,2.19299316,,,
0.0402,2.19299316,,,
0.0404,2.19268799,,,
0.0406,2.19299316,,,
0.0408,2.19299316,,,
0.041,2.19299316,,,
0.0412,2.19299316,,,
0.0414,2.19268799,,,
0.0416,2.19299316,,,
0.0418,2.19299316,,,
0.042,2.19299316,,,
0.0422,2.19268799,,,
0.0424,2.19299316,,,
0.0426,2.19299316,,,
0.0428,2.19299316,,,
0.043,2.19268799,,,
0.0432,2.19299316,,,
0.0434,2.19299316,,,
0.0436,2.19299316,,,
0.0438,2.19299316,,,
0.044,2.19299316,,,
0.0442,2.19299316,,,
0.0444,2.19299316,,,
0.0446,2.19299316,,,
0.0448,2.19299316,,,
0.045,2.19299316,,,
0.0452,2.19299316,,,
0.0454,2.19299316,,,
0.0456,2.19299316,,,
0.0458,2.19268799,,,
0.046,2.19299316,,,
0.0462,2.19299316,,,
0.0464,2.19299316,,,
0.0466,2.19299316,,,
0.0468,2.19268799,,,
0.047,2.19299316,,,
0.0472,2.19268799,,,
0.0474,2.19299316,,,
0.0476,2.19299316,,,
0.0478,2.19299316,,,
0.048,2.19268799,,,
0.0482,2.19299316,,,
0.0484,2.19299316,,,
0.0486,2.19299316,,,
0.0488,2.19299316,,,
0.049,2.19299316,,,
0.0492,2.19299316,,,
0.0494,2.19299316,,,
0.0496,2.19299316,,,
0.0498,2.19268799,,,
0.05,2.19268799,,,
0.0502,2.19268799,,,
0.0504,2.19268799,,,
0.0506,2.19299316,,,
0.0508,2.19299316,,,
0.051,2.19268799,,,
0.0512,2.19268799,,,
0.0514,2.19299316,,,
0.0516,2.19299316,,,
0.0518,2.19299316,,,
0.052,2.19268799,,,
0.0522,2.19299316,,,
0.0524,2.19268799,,,
0.0526,2.19268799,,,
0.0528,2.19268799,,,
0.053,2.19299316,,,
0.0532,2.19268799,,,
0.0534,2.19268799,,,
0.0536,2.19268799,,,
0.0538,2.19299316,,,
0.054,2.19299316,,,
0.0542,2.19268799,,,
