time(s),DAC ch0(V),DAC ch1(V),DAC ch2(V),DAC ch3(V),ADC ch0(V),ADC ch1(V),ADC ch2(V),ADC ch3(V)
0.0,0.0,,,,0.0,,,
0.0005,0.00025,,,,0.0,,,
0.001,0.0005,,,,0.00030518,,,
0.0015,0.00075,,,,0.00030518,,,
0.002,0.001,,,,0.00030518,,,
0.0025,0.00125,,,,0.0012207,,,
0.003,0.0015,,,,0.00152588,,,
0.0035,0.00175,,,,0.0012207,,,
0.004,0.002,,,,0.00183105,,,
0.0045,0.00225,,,,0.00213623,,,
0.005,0.0025,,,,0.00244141,,,
0.0055,0.00275,,,,0.00274658,,,
0.006,0.003,,,,0.00274658,,,
0.0065,0.00325,,,,0.00305176,,,
0.007,0.0035,,,,0.00305176,,,
0.0075,0.00375,,,,0.00335693,,,
0.008,0.004,,,,0.00396729,,,
0.0085,0.00425,,,,0.00396729,,,
0.009,0.0045,,,,0.00457764,,,
0.0095,0.00475,,,,0.00457764,,,
0.01,0.005,,,,0.00488281,,,
0.0105,0.00525,,,,0.00518799,,,
0.011,0.0055,,,,0.00518799,,,
0.0115,0.00575,,,,0.00518799,,,
0.012,0.006,,,,0.00549316,,,
0.0125,0.00625,,,,0.00579834,,,
0.013,0.0065,,,,0.00610352,,,
0.0135,0.00675,,,,0.00640869,,,
0.014,0.007,,,,0.00640869,,,
0.0145,0.00725,,,,0.00671387,,,
0.015,0.0075,,,,0.00671387,,,
0.0155,0.00775,,,,0.00701904,,,
0.016,0.008,,,,0.00732422,,,
0.0165,0.00825,,,,0.00762939,,,
0.017,0.0085,,,,0.00762939,,,
0.0175,0.00875,,,,0.00823975,,,
0.018,0.009,,,,0.00854492,,,
0.0185,0.00925,,,,0.0088501,,,
0.019,0.0095,,,,0.00915527,,,
0.0195,0.00975,,,,0.0088501,,,
0.02,0.01,,,,0.00946045,,,
0.0205,0.01025,,,,0.00946045,,,
0.021,0.0105,,,,0.01037598,,,
0.0215,0.01075,,,,0.01068115,,,
0.022,0.011,,,,0.01068115,,,
0.0225,0.01125,,,,0.01098633,,,
0.023,0.0115,,,,0.01098633,,,
0.0235,0.01175,,,,0.01159668,,,
0.024,0.012,,,,0.01159668,,,
0.0245,0.01225,,,,0.01220703,,,
0.025,0.0125,,,,0.01190186,,,
0.0255,0.01275,,,,0.01220703,,,
0.026,0.013,,,,0.01281738,,,
0.0265,0.01325,,,,0.01312256,,,
0.027,0.0135,,,,0.01312256,,,
0.0275,0.01375,,,,0.01373291,,,
0.028,0.014,,,,0.01373291,,,
0.0285,0.01425,,,,0.01434326,,,
0.029,0.0145,,,,0.01464844,,,
0.0295,0.01475,,,,0.01495361,,,
0.03,0.015,,,,0.01525879,,,
0.0305,0.01525,,,,0.01525879,,,
0.031,0.0155,,,,0.01556396,,,
0.0315,0.01575,,,,0.01556396,,,
0.032,0.016,,,,0.01586914,,,
0.0325,0.01625,,,,0.01617432,,,
0.033,0.0165,,,,0.01617432,,,
0.0335,0.01675,,,,0.01617432,,,
0.034,0.017,,,,0.01678467,,,
0.0345,0.01725,,,,0.01708984,,,
0.035,0.0175,,,,0.01739502,,,
0.0355,0.01775,,,,0.0177002,,,
0.036,0.018,,,,0.01800537,,,
0.0365,0.01825,,,,0.01831055,,,
0.037,0.0185,,,,0.01831055,,,
0.0375,0.01875,,,,0.0189209,,,
0.038,0.019,,,,0.01922607,,,
0.0385,0.01925,,,,0.01953125,,,
0.039,0.0195,,,,0.01953125,,,
0.0395,0.01975,,,,0.0201416,,,
0.04,0.02,,,,0.02044678,,,
0.0405,0.02025,,,,0.02044678,,,
0.041,0.0205,,,,0.02075195,,,
0.0415,0.02075,,,,0.02044678,,,
0.042,0.021,,,,0.02105713,,,
0.0425,0.02125,,,,0.0213623,,,
0.043,0.0215,,,,0.02166748,,,
0.0435,0.02175,,,,0.02166748,,,
0.044,0.022,,,,0.02227783,,,
0.0445,0.02225,,,,0.02227783,,,
0.045,0.0225,,,,0.02227783,,,
0.0455,0.02275,,,,0.02258301,,,
0.046,0.023,,,,0.02319336,,,
0.0465,0.02325,,,,0.02319336,,,
0.047,0.0235,,,,0.02319336,,,
0.0475,0.02375,,,,0.02349854,,,
0.048,0.024,,,,0.02349854,,,
0.0485,0.02425,,,,0.02380371,,,
0.049,0.0245,,,,0.02441406,,,
0.0495,0.02475,,,,0.02502441,,,
0.05,0.025,,,,0.02502441,,,
0.0505,0.02525,,,,0.02502441,,,
0.051,0.0255,,,,0.02532959,,,
0.0515,0.02575,,,,0.02563477,,,
0.052,0.026,,,,0.02563477,,,
0.0525,0.02625,,,,0.02593994,,,
0.053,0.0265,,,,0.02563477,,,
0.0535,0.02675,,,,0.02593994,,,
0.054,0.027,,,,0.02655029,,,
0.0545,0.02725,,,,0.02716064,,,
0.055,0.0275,,,,0.027771,,,
0.0555,0.02775,,,,0.02807617,,,
0.056,0.028,,,,0.02807617,,,
0.0565,0.02825,,,,0.02838135,,,
0.057,0.0285,,,,0.02838135,,,
0.0575,0.02875,,,,0.0289917,,,
0.058,0.029,,,,0.02929688,,,
0.0585,0.02925,,,,0.02929688,,,
0.059,0.0295,,,,0.02960205,,,
0.0595,0.02975,,,,0.02990723,,,
0.06,0.03,,,,0.03051758,,,
0.0605,0.03025,,,,0.03082275,,,
0.061,0.0305,,,,0.03051758,,,
0.0615,0.03075,,,,0.03082275,,,
0.062,0.031,,,,0.03112793,,,
0.0625,0.03125,,,,0.03143311,,,
0.063,0.0315,,,,0.03143311,,,
0.0635,0.03175,,,,0.03204346,,,
0.064,0.032,,,,0.03204346,,,
0.0645,0.03225,,,,0.03234863,,,
0.065,0.0325,,,,0.03234863,,,
0.0655,0.03275,,,,0.03234863,,,
0.066,0.033,,,,0.03265381,,,
0.0665,0.03325,,,,0.03265381,,,
0.067,0.0335,,,,0.03265381,,,
0.0675,0.03375,,,,0.03295898,,,
0.068,0.034,,,,0.03356934,,,
0.0685,0.03425,,,,0.03387451,,,
0.069,0.0345,,,,0.03448486,,,
0.0695,0.03475,,,,0.03448486,,,
