time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.0,-0.3821,2.4991,2.4988,2.4991
0.0125,-0.3549,2.4991,2.4988,2.4991
0.025,-0.325,2.4991,2.4988,2.4991
0.0375,-0.2927,2.4991,2.4988,2.4991
0.05,-0.2585,2.4991,2.4988,2.4991
0.0625,-0.2237,2.4991,2.4988,2.4991
0.075,-0.1874,2.4991,2.4988,2.4991
0.0875,-0.1495,2.4991,2.4988,2.4991
0.1,-0.1102,2.4991,2.4988,2.4991
0.1125,-0.0711,2.4991,2.4988,2.4991
0.125,-0.0311,2.4991,2.4988,2.4991
0.1375,0.007,2.4991,2.4988,2.4991
0.15,0.047,2.4991,2.4988,2.4991
0.1625,0.087,2.4991,2.4988,2.4991
0.175,0.126,2.4991,2.4988,2.4991
0.1875,0.1639,2.4991,2.4988,2.4991
0.2,0.2011,2.4991,2.4988,2.4991
0.2125,0.2371,2.4991,2.4988,2.4991
0.225,0.2719,2.4991,2.4988,2.4991
0.2375,0.3043,2.4991,2.4988,2.4991
0.25,0.3354,2.4991,2.4988,2.4991
0.2625,0.3647,2.4991,2.4988,2.4991
0.275,0.3909,2.4991,2.4988,2.4991
0.2875,0.415,2.4991,2.4988,2.4991
0.3,0.4364,2.4991,2.4988,2.4991
0.3125,0.4553,2.4991,2.4988,2.4991
0.325,0.4712,2.4991,2.4988,2.4991
0.3375,0.4843,2.4991,2.4988,2.4991
0.35,0.4941,2.4991,2.4988,2.4991
0.3625,0.5011,2.4991,2.4988,2.4991
0.375,0.5051,2.4991,2.4988,2.4991
0.3875,0.5051,2.4991,2.4988,2.4991
0.4,0.5032,2.4991,2.4988,2.4991
0.4125,0.4971,2.4991,2.4988,2.4991
0.425,0.4889,2.4991,2.4988,2.4991
0.4375,0.4773,2.4991,2.4988,2.4991
0.45,0.4623,2.4991,2.4988,2.4991
0.4625,0.4449,2.4991,2.4988,2.4991
0.475,0.4245,2.4991,2.4988,2.4991
0.4875,0.4013,2.4991,2.4988,2.4991
0.5,0.376,2.4991,2.4988,2.4991
0.5125,0.3482,2.4991,2.4988,2.4991
0.525,0.318,2.4991,2.4988,2.4991
0.5375,0.2866,2.4991,2.4988,2.4991
0.55,0.2527,2.4991,2.4988,2.4991
0.5625,0.2176,2.4991,2.4988,2.4991
0.575,0.1804,2.4991,2.4988,2.4991
0.5875,0.1422,2.4991,2.4988,2.4991
0.6,0.1041,2.4991,2.4988,2.4991
0.6125,0.0644,2.4991,2.4988,2.4991
0.625,0.0247,2.4991,2.4988,2.4991
0.6375,-0.014,2.4991,2.4988,2.4991
0.65,-0.054,2.4991,2.4988,2.4991
0.6625,-0.0931,2.4991,2.4988,2.4991
0.675,-0.1321,2.4991,2.4988,2.4991
0.6875,-0.1709,2.4991,2.4988,2.4991
0.7,-0.2081,2.4991,2.4988,2.4991
0.7125,-0.2435,2.4991,2.4988,2.4991
0.725,-0.278,2.4991,2.4988,2.4991
0.7375,-0.311,2.4991,2.4988,2.4991
0.75,-0.3415,2.4991,2.4988,2.4991
0.7625,-0.3705,2.4991,2.4988,2.4991
0.775,-0.397,2.4991,2.4988,2.4991
0.7875,-0.4211,2.4991,2.4988,2.4991
0.8,-0.4419,2.4991,2.4988,2.4991
0.8125,-0.4608,2.4991,2.4988,2.4991
0.825,-0.4767,2.4991,2.4988,2.4991
0.8375,-0.4898,2.4991,2.4988,2.4991
0.85,-0.4996,2.4991,2.4988,2.4991
0.8625,-0.5066,2.4988,2.4988,2.4991
0.875,-0.5106,2.4988,2.4988,2.4991
0.8875,-0.5106,2.4991,2.4988,2.4991
0.9,-0.5087,2.4991,2.4988,2.4991
0.9125,-0.5026,2.4991,2.4988,2.4991
0.925,-0.4938,2.4991,2.4988,2.4991
0.9375,-0.4825,2.4991,2.4988,2.4991
0.95,-0.4678,2.4991,2.4988,2.4991
0.9625,-0.4498,2.4991,2.4988,2.4991
0.975,-0.4297,2.4991,2.4988,2.4991
0.9875,-0.4065,2.4991,2.4988,2.4991
1.0,-0.3812,2.4991,2.4988,2.4991
1.0125,-0.3531,2.4991,2.4988,2.4991
1.025,-0.3229,2.4991,2.4988,2.4991
1.0375,-0.2911,2.4991,2.4988,2.4991
1.05,-0.257,2.4991,2.4988,2.4991
1.0625,-0.2216,2.4991,2.4988,2.4991
1.075,-0.1849,2.4991,2.4988,2.4991
1.0875,-0.1477,2.4991,2.4988,2.4991
1.1,-0.1086,2.4991,2.4988,2.4991
1.1125,-0.0693,2.4991,2.4988,2.4991
1.125,-0.0293,2.4991,2.4988,2.4991
1.1375,0.0095,2.4991,2.4988,2.4991
1.15,0.0494,2.4991,2.4988,2.4991
1.1625,0.0885,2.4991,2.4988,2.4991
1.175,0.1276,2.4991,2.4988,2.4991
1.1875,0.1657,2.4991,2.4988,2.4991
1.2,0.2032,2.4991,2.4988,2.4991
1.2125,0.2386,2.4991,2.4988,2.4991
1.225,0.2737,2.4991,2.4988,2.4991
1.2375,0.3061,2.4991,2.4988,2.4991
1.25,0.3372,2.4991,2.4988,2.4991
1.2625,0.3659,2.4991,2.4988,2.4991
1.275,0.3915,2.4991,2.4988,2.4991
1.2875,0.4156,2.4991,2.4988,2.4991
1.3,0.4373,2.4991,2.4988,2.4991
1.3125,0.4559,2.4991,2.4988,2.4991
1.325,0.4718,2.4991,2.4988,2.4991
1.3375,0.4843,2.4991,2.4988,2.4991
1.35,0.4941,2.4991,2.4988,2.4991
1.3625,0.5011,2.4991,2.4988,2.4991
1.375,0.5051,2.4991,2.4988,2.4991
1.3875,0.5051,2.4991,2.4988,2.4991
