time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.0,0.5054,,,
0.0125,0.5057,,,
0.025,0.506,,,
0.0375,0.5057,,,
0.05,0.5054,,,
0.0625,0.5057,,,
0.075,0.506,,,
0.0875,0.5057,,,
0.1,0.5054,,,
0.1125,0.5057,,,
0.125,0.506,,,
0.1375,0.5057,,,
0.15,0.5054,,,
0.1625,0.5057,,,
0.175,0.506,,,
0.1875,0.5057,,,
0.2,0.5054,,,
0.2125,0.5057,,,
0.225,0.506,,,
0.2375,0.506,,,
0.25,0.5054,,,
0.2625,0.5057,,,
0.275,0.506,,,
0.2875,0.506,,,
0.3,0.5054,,,
0.3125,0.5057,,,
0.325,0.506,,,
0.3375,0.5057,,,
0.35,0.5054,,,
0.3625,0.5057,,,
0.375,0.506,,,
0.3875,0.5057,,,
0.4,0.5054,,,
0.4125,0.5057,,,
0.425,0.506,,,
0.4375,0.5057,,,
0.45,-0.517,,,
0.4625,-0.5164,,,
0.475,-0.5161,,,
0.4875,-0.5161,,,
0.5,-0.5164,,,
0.5125,-0.5164,,,
0.525,-0.5161,,,
0.5375,-0.5161,,,
0.55,-0.5164,,,
0.5625,-0.5164,,,
0.575,-0.5161,,,
0.5875,-0.5161,,,
0.6,-0.5164,,,
0.6125,-0.5164,,,
0.625,-0.5161,,,
0.6375,-0.5161,,,
0.65,-0.5164,,,
0.6625,-0.5164,,,
0.675,-0.5161,,,
0.6875,-0.5161,,,
0.7,-0.5164,,,
0.7125,-0.5164,,,
0.725,-0.5161,,,
0.7375,-0.5161,,,
0.75,-0.5164,,,
0.7625,-0.5164,,,
0.775,-0.5161,,,
0.7875,-0.5161,,,
0.8,-0.5164,,,
0.8125,-0.5164,,,
0.825,-0.5161,,,
0.8375,-0.5161,,,
0.85,-0.5164,,,
0.8625,-0.5164,,,
0.875,-0.5161,,,
0.8875,-0.5161,,,
0.9,-0.5164,,,
0.9125,-0.5164,,,
0.925,-0.5161,,,
0.9375,-0.5161,,,
0.95,0.506,,,
0.9625,0.5057,,,
0.975,0.5057,,,
0.9875,0.5057,,,
1.0,0.5057,,,
1.0125,0.5057,,,
1.025,0.506,,,
1.0375,0.5057,,,
1.05,0.5057,,,
1.0625,0.5057,,,
1.075,0.5057,,,
1.0875,0.506,,,
1.1,0.5057,,,
1.1125,0.5057,,,
1.125,0.5057,,,
1.1375,0.5057,,,
1.15,0.5057,,,
1.1625,0.5057,,,
1.175,0.5057,,,
1.1875,0.5057,,,
1.2,0.5057,,,
1.2125,0.5057,,,
1.225,0.5057,,,
1.2375,0.506,,,
1.25,0.5057,,,
1.2625,0.5057,,,
1.275,0.5057,,,
1.2875,0.506,,,
1.3,0.5057,,,
1.3125,0.5057,,,
1.325,0.5057,,,
